date,country,age,sex,fatal,activity,type
June,USA,19.0,M,N,surfing,Unprovoked
June,,30.0,M,N,surfing,Unprovoked
June,USA,,M,N,fishing,Unprovoked
June,,32.0,F,N,swimming,Unprovoked
May,USA,20.0,F,N,other activity,Provoked
May,USA,,M,N,other activity,Unprovoked
May,AUSTRALIA,73.0,M,N,fishing,
May,,41.0,M,N,fishing,Unprovoked
May,AUSTRALIA,29.0,M,N,other activity,Provoked
May,,33.0,M,Y,swimming,Unprovoked
May,USA,18.0,F,,surfing,
April,USA,,F,N,swimming,Unprovoked
April,SOUTH AFRICA,14.0,M,N,surfing,Unprovoked
April,USA,33.0,F,N,surfing,Unprovoked
April,,28.0,M,Y,surfing,Unprovoked
April,NEW ZEALAND,,F,N,surfing,Unprovoked
April,USA,,F,,other activity,
April,,40.0,F,N,swimming,Unprovoked
April,USA,,M,,swimming,
April,USA,,,N,other activity,Unprovoked
April,AUSTRALIA,17.0,F,Y,surfing,Unprovoked
April,USA,28.0,M,N,surfing,Unprovoked
April,USA,17.0,M,N,surfing,Unprovoked
April,USA,,F,N,surfing,Unprovoked
April,SOUTH AFRICA,68.0,M,,swimming,
April,USA,35.0,F,N,surfing,Unprovoked
April,USA,10.0,F,N,surfing,Unprovoked
April,USA,21.0,F,N,swimming,Unprovoked
April,USA,16.0,M,N,swimming,Unprovoked
April,USA,51.0,F,N,swimming,Unprovoked
April,AUSTRALIA,39.0,M,N,vessel related,Unprovoked
April,USA,17.0,F,N,swimming,Unprovoked
March,USA,58.0,M,N,surfing,Unprovoked
March,AUSTRALIA,30.0,M,N,surfing,Unprovoked
March,USA,,M,N,vessel related,
March,,25.0,M,N,fishing,Unprovoked
March,,58.0,M,N,Close to the water,Unprovoked
February,AUSTRALIA,,F,N,swimming,Unprovoked
February,AUSTRALIA,,M,N,surfing,Unprovoked
February,,26.0,M,Y,surfing,Unprovoked
February,AUSTRALIA,26.0,M,N,fishing,Unprovoked
February,USA,22.0,M,N,swimming,Unprovoked
February,,,F,N,other activity,Provoked
February,SOUTH AFRICA,,M,N,fishing,
February,USA,,,N,other activity,
February,,37.0,M,N,swimming,Unprovoked
January,,21.0,M,N,swimming,Unprovoked
January,USA,,M,N,other activity,Unprovoked
January,AUSTRALIA,55.0,M,N,swimming,Unprovoked
January,AUSTRALIA,57.0,M,N,swimming,Unprovoked
January,USA,,M,N,other activity,Unprovoked
January,,48.0,M,N,surfing,Unprovoked
January,AUSTRALIA,35.0,M,,fishing,
January,USA,47.0,M,N,Close to the water,Unprovoked
January,AUSTRALIA,20.0,M,,Close to the water,
December,USA,16.0,M,N,surfing,Unprovoked
December,AUSTRALIA,,F,N,swimming,Unprovoked
December,SOUTH AFRICA,55.0,M,N,vessel related,Unprovoked
December,AUSTRALIA,61.0,M,N,swimming,Unprovoked
December,,,M,N,fishing,Unprovoked
December,USA,19.0,M,,surfing,
December,AUSTRALIA,20.0,M,N,fishing,Provoked
December,AUSTRALIA,65.0,M,N,surfing,Unprovoked
November,AUSTRALIA,73.0,M,N,fishing,Provoked
November,USA,58.0,F,N,swimming,Unprovoked
October,USA,41.0,M,N,surfing,Unprovoked
October,USA,42.0,M,N,surfing,Unprovoked
October,AUSTRALIA,36.0,M,N,surfing,Unprovoked
October,USA,36.0,M,N,surfing,Unprovoked
October,AUSTRALIA,,M,N,surfing,Unprovoked
October,USA,66.0,F,N,swimming,Unprovoked
October,,,M,,swimming,
October,AUSTRALIA,25.0,M,N,surfing,Unprovoked
October,USA,29.0,M,N,surfing,Unprovoked
October,USA,21.0,M,N,surfing,Unprovoked
October,USA,32.0,M,N,other activity,Unprovoked
September,AUSTRALIA,17.0,M,N,surfing,Unprovoked
September,USA,16.0,M,N,surfing,Unprovoked
September,USA,36.0,M,N,surfing,Unprovoked
September,USA,43.0,M,N,surfing,Unprovoked
September,USA,43.0,M,N,surfing,Unprovoked
September,AUSTRALIA,,M,N,surfing,Unprovoked
September,AUSTRALIA,,M,N,surfing,Unprovoked
September,AUSTRALIA,,,N,fishing,
September,USA,,M,N,Close to the water,Unprovoked
September,USA,51.0,F,N,swimming,Unprovoked
September,,50.0,M,Y,surfing,Unprovoked
September,USA,12.0,F,N,surfing,Unprovoked
September,AUSTRALIA,,M,N,surfing,Unprovoked
September,USA,9.0,M,N,surfing,Unprovoked
September,USA,22.0,M,N,fishing,Unprovoked
September,,,,,swimming,
August,USA,25.0,M,N,surfing,Unprovoked
August,USA,37.0,M,N,surfing,Unprovoked
August,,20.0,M,N,surfing,Unprovoked
August,USA,49.0,M,N,Close to the water,Unprovoked
August,,15.0,M,N,swimming,Unprovoked
August,USA,21.0,M,N,surfing,Unprovoked
August,USA,22.0,M,N,surfing,Unprovoked
July,,40.0,M,N,swimming,Unprovoked
July,,72.0,M,N,swimming,Unprovoked
